open_date_year,application_for,ballots_in_favour,ballots_distributed,ballots_returned,poll_result
2016,Appeal - Front Yard Parking,13,23,17,In Favour
2016,Front Yard Parking,41,45,42,In Favour
2016,Boulevard Cafe,38,143,56,In Favour
2016,Boulevard Cafe,6,34,6,In Favour
2016,Boulevard Cafe,16,71,18,In Favour
2016,Appeal - Front Yard Parking,31,95,31,In Favour
2016,Front Yard Parking,85,119,87,In Favour
2016,Front Yard Parking,26,114,49,Opposed
2016,Appeal - Front Yard Parking,37,70,44,In Favour
2016,Front Yard Parking,34,110,36,In Favour
2016,Front Yard Parking,46,76,47,In Favour
2016,Front Yard Parking,54,130,68,In Favour
2016,Boulevard Cafe,5,44,10,Opposed
2016,Front Yard Parking,10,23,12,In Favour
2016,Traffic Calming,19,72,41,Opposed
2016,Traffic Calming,24,64,33,In Favour
2016,Boulevard Cafe,2,13,7,Opposed
2016,Traffic Calming,43,116,70,Opposed
2016,Traffic Calming,61,188,85,In Favour
2016,Front Yard Parking,39,103,44,In Favour
2016,Front Yard Parking,35,70,36,In Favour
2016,Appeal - Front Yard Parking,30,48,30,In Favour
2016,Appeal - Front Yard Parking,46,133,68,In Favour
2016,Front Yard Parking,38,78,40,In Favour
2016,Appeal - Front Yard Parking,74,194,82,In Favour
2016,Front Yard Parking,26,44,26,In Favour
2016,Appeal - Front Yard Parking,6,15,7,In Favour
2016,Front Yard Parking,32,46,33,In Favour
2016,Boulevard Cafe,2,115,27,Opposed
2016,Boulevard Cafe,25,118,36,In Favour
2016,Boulevard Cafe,17,114,22,In Favour
2016,Boulevard Cafe,23,66,23,In Favour
2016,Appeal - Front Yard Parking,17,71,26,In Favour
2016,Appeal - Front Yard Parking,60,116,60,In Favour
2016,Appeal - Front Yard Parking,35,125,41,In Favour
2016,Front Yard Parking,10,12,10,In Favour
2016,Front Yard Parking,22,40,23,In Favour
2016,Appeal - Front Yard Parking,22,81,30,In Favour
2016,Front Yard Parking,48,88,48,In Favour
2016,Front Yard Parking,27,41,28,In Favour
2016,Front Yard Parking,30,64,37,In Favour
2016,Front Yard Parking,41,96,42,In Favour
2016,Appeal - Front Yard Parking,27,112,27,In Favour
2016,Appeal - Front Yard Parking,48,117,53,In Favour
2016,Front Yard Parking,65,136,68,In Favour
2016,Front Yard Parking,44,83,45,In Favour
2016,Appeal - Front Yard Parking,31,84,33,In Favour
2016,Appeal - Front Yard Parking,30,85,34,In Favour
2016,Traffic Calming,22,31,26,In Favour
2016,Front Yard Parking,55,74,55,In Favour
2016,Front Yard Parking,47,106,47,In Favour
2016,Appeal - Front Yard Parking,49,153,53,In Favour
2016,Appeal - Front Yard Parking,31,106,33,In Favour
2016,Traffic Calming – Island,15,30,25,Opposed
2016,Front Yard Parking,13,50,13,In Favour
2016,Front Yard Parking,21,93,22,In Favour
2016,Boulevard Cafe,4,20,10,Opposed
2016,Appeal - Front Yard Parking,36,92,39,In Favour
2016,Appeal - Front Yard Parking,30,73,36,In Favour
2016,Appeal - Front Yard Parking,24,136,41,In Favour
2016,Appeal - Front Yard Parking,22,40,22,In Favour
2016,Appeal - Front Yard Parking,32,121,40,In Favour
2016,Appeal - Front Yard Parking,29,109,36,In Favour
2016,Appeal - Front Yard Parking,27,70,32,In Favour
2016,Appeal - Front Yard Parking,27,130,40,In Favour
2016,Appeal - Front Yard Parking,32,130,48,In Favour
2016,Appeal - Front Yard Parking,19,47,20,In Favour
2016,Front Yard Parking,43,70,44,In Favour
2016,Front Yard Parking,41,105,47,In Favour
2016,Appeal - Front Yard Parking,23,90,43,Opposed
2016,Front Yard Parking,38,83,38,In Favour
2016,Front Yard Parking,29,59,33,In Favour
2016,Front Yard Parking,31,82,35,In Favour
2016,Front Yard Parking,25,83,26,In Favour
2016,Front Yard Parking,26,53,27,In Favour
2016,Appeal - Front Yard Parking,55,135,60,In Favour
2016,Appeal - Front Yard Parking,38,92,38,In Favour
2016,Appeal - Front Yard Parking,45,70,45,In Favour
2016,Appeal - Front Yard Parking,18,93,30,Opposed
2016,Commercial Boulevard Parking,11,64,22,Opposed
2016,Front Yard Parking,13,104,36,Opposed
2016,Front Yard Parking,52,156,62,In Favour
2016,Front Yard Parking,28,74,34,In Favour
2016,Front Yard Parking,54,109,54,In Favour
2016,Appeal - Front Yard Parking,41,78,45,In Favour
2016,Appeal - Front Yard Parking,42,83,46,In Favour
2016,Front Yard Parking,10,20,10,In Favour
2016,Front Yard Parking,29,47,31,In Favour
2016,Front Yard Parking,26,42,26,In Favour
2016,Front Yard Parking,35,97,35,In Favour
2016,Front Yard Parking,7,19,7,In Favour
2016,Front Yard Parking,31,38,31,In Favour
2016,Front Yard Parking,55,102,63,In Favour
2016,Traffic Calming,19,55,27,In Favour
2016,Appeal - Front Yard Parking,31,42,32,In Favour
2016,Appeal - Front Yard Parking,20,97,24,In Favour
2016,Appeal - Front Yard Parking,12,65,29,Opposed
2016,Appeal - Front Yard Parking,12,38,16,In Favour
2016,Appeal - Front Yard Parking,30,66,32,In Favour
2016,Appeal - Front Yard Parking,50,96,50,In Favour
2016,Appeal - Front Yard Parking,22,135,49,Opposed
2016,Appeal - Front Yard Parking,12,70,21,Opposed
2016,Front Yard Parking,40,107,41,In Favour
2016,Front Yard Parking,41,65,41,In Favour
2016,Front Yard Parking,24,39,24,In Favour
2017,Permit Parking,16,140,33,Opposed
2017,Boulevard Cafe,15,92,22,In Favour
2016,Permit Parking,44,205,52,In Favour
2017,Permit Parking,7,22,10,In Favour
2016,Front Yard Parking,29,76,29,In Favour
2017,Boulevard Cafe,25,65,35,In Favour
2017,Front Yard Parking,13,54,14,In Favour
2017,Front Yard Parking,25,60,26,In Favour
2017,Front Yard Parking,33,50,35,In Favour
2017,Front Yard Parking,36,133,40,In Favour
2017,Front Yard Parking,4,11,4,In Favour
2017,Front Yard Parking,24,40,24,In Favour
2017,Permit Parking,12,61,23,Opposed
2017,Permit Parking,16,121,63,Opposed
2017,Appeal - Front Yard Parking,31,107,33,In Favour
2017,Front Yard Parking,54,97,54,In Favour
2017,Front Yard Parking,13,41,13,In Favour
2017,Front Yard Parking,34,74,34,In Favour
2017,Appeal - Front Yard Parking,4,37,20,Opposed
2017,Front Yard Parking,22,31,23,In Favour
2017,Permit Parking,6,21,13,Opposed
2017,Permit Parking,32,167,57,In Favour
2017,Permit Parking,8,57,34,Opposed
2017,Front Yard Parking,35,111,49,In Favour
2017,Appeal - Front Yard Parking,53,79,53,In Favour
2017,Front Yard Parking,50,100,52,In Favour
2017,Front Yard Parking,57,102,57,In Favour
2017,Appeal - Front Yard Parking,66,185,71,In Favour
2017,Appeal - Front Yard Parking,24,79,24,In Favour
2017,Front Yard Parking,40,116,40,In Favour
2017,Appeal - Front Yard Parking,53,165,56,In Favour
2017,Appeal - Front Yard Parking,40,130,47,In Favour
2017,Appeal - Front Yard Parking,59,138,80,In Favour
2017,Boulevard Cafe,2,14,3,Opposed
2017,Boulevard Cafe,7,87,35,Opposed
2017,Front Yard Parking,29,99,40,In Favour
2017,Front Yard Parking,12,26,12,In Favour
2017,Front Yard Parking,43,115,45,In Favour
2017,Front Yard Parking,30,96,30,In Favour
2017,Front Yard Parking,21,40,21,In Favour
2017,Front Yard Parking,25,64,25,In Favour
2017,Front Yard Parking,29,98,37,In Favour
2017,Front Yard Parking,36,94,42,In Favour
2017,Front Yard Parking,15,34,15,In Favour
2017,Appeal - Front Yard Parking,41,116,43,In Favour
2017,Appeal - Front Yard Parking,34,111,39,In Favour
2017,Appeal - Front Yard Parking,17,70,19,In Favour
2017,Permit Parking,15,48,23,In Favour
2017,Front Yard Parking,12,18,12,In Favour
2017,Appeal - Front Yard Parking,8,44,10,In Favour
2017,Traffic Calming,6,21,13,Opposed
2017,Boulevard Cafe,13,39,13,In Favour
2017,Front Yard Parking,33,106,35,In Favour
2017,Front Yard Parking,17,46,17,In Favour
2017,Front Yard Parking,37,75,45,In Favour
2017,Front Yard Parking,31,88,33,In Favour
2017,Front Yard Parking,35,75,35,In Favour
2017,Appeal - Front Yard Parking,20,77,24,In Favour
2017,Front Yard Parking,44,120,54,In Favour
2017,Traffic Calming,30,89,51,Opposed
2017,Traffic Calming,54,132,73,In Favour
2017,Front Yard Parking,43,89,50,In Favour
2017,Appeal - Front Yard Parking,28,103,31,In Favour
2017,Appeal - Front Yard Parking,6,21,6,In Favour
2017,Appeal - Front Yard Parking,19,122,52,Opposed
2017,Appeal - Front Yard Parking,23,120,31,In Favour
2017,Appeal - Front Yard Parking,10,49,30,Opposed
2017,Appeal - Front Yard Parking,18,51,21,In Favour
2017,Appeal - Front Yard Parking,40,142,50,In Favour
2017,Appeal - Front Yard Parking,30,63,31,In Favour
2017,Appeal - Front Yard Parking,11,28,11,In Favour
2017,Appeal - Front Yard Parking,55,129,62,In Favour
2017,Front Yard Parking,49,93,53,In Favour
2017,Front Yard Parking,39,128,39,In Favour
2017,Front Yard Parking,32,120,36,In Favour
2017,Appeal - Front Yard Parking,26,68,28,In Favour
2017,Front Yard Parking,16,88,18,In Favour
2017,Front Yard Parking,29,54,31,In Favour
2017,Front Yard Parking,13,54,21,Opposed
2017,Traffic Calming,14,31,17,In Favour
2017,Traffic Calming,27,67,34,In Favour
2017,Front Yard Parking,20,129,27,In Favour
2017,Appeal - Front Yard Parking,27,119,39,In Favour
2017,Boulevard Cafe,14,117,43,Opposed
2017,Boulevard Cafe,8,26,11,In Favour
2017,Boulevard Cafe,16,93,21,In Favour
2017,Boulevard Cafe,9,27,9,In Favour
2017,Traffic Calming,88,279,128,In Favour
2017,Traffic Calming,78,187,102,In Favour
2017,Boulevard Cafe,20,81,35,In Favour
2017,Appeal - Front Yard Parking,18,129,52,Opposed
2017,Appeal - Front Yard Parking,17,129,50,Opposed
2017,Appeal - Front Yard Parking,16,76,28,Opposed
2017,Front Yard Parking,29,40,29,In Favour
2017,Front Yard Parking,17,45,26,In Favour
2017,Permit Parking,8,58,32,Opposed
2017,Permit Parking,4,62,17,Opposed
2017,Front Yard Parking,8,68,38,Opposed
2017,Traffic Calming,71,188,97,In Favour
2017,Traffic Calming,44,109,51,In Favour
2017,Boulevard Cafe,23,98,31,In Favour
2017,Traffic Calming,20,42,23,In Favour
2017,Traffic Calming,25,41,28,In Favour
2017,Front Yard Parking,37,78,37,In Favour
2017,Front Yard Parking,17,57,22,In Favour
2017,Front Yard Parking,13,86,19,Opposed
2017,Appeal - Front Yard Parking,14,19,16,In Favour
2017,Front Yard Parking,26,43,26,In Favour
2017,Front Yard Parking,32,124,41,In Favour
2017,Appeal - Front Yard Parking,27,96,28,In Favour
2017,Appeal - Front Yard Parking,19,146,57,Opposed
2017,Appeal - Front Yard Parking,42,127,52,In Favour
2017,Appeal - Front Yard Parking,39,70,44,In Favour
2017,Appeal - Front Yard Parking,15,73,29,Opposed
2017,Appeal - Front Yard Parking,16,83,35,Opposed
2017,Proposed Business Improvement Area,12,19,15,In Favour
2017,Front Yard Parking,12,50,14,In Favour
2017,Front Yard Parking,29,62,30,In Favour
2017,Front Yard Parking,29,88,42,In Favour
2017,Boulevard Cafe,16,108,26,Opposed
